gen_id,seed,img_path,w_npz_path,gene_class_idx,z_dim,w_dim,num_ws,trunc
00000000,0,data/gene_36class/generated/gene_0/images/seed0000_latClass_0.png,data/gene_36class/generated/gene_0/w/00000000.npz,0,512,512,16,0.7
00000001,1,data/gene_36class/generated/gene_0/images/seed0001_latClass_0.png,data/gene_36class/generated/gene_0/w/00000001.npz,0,512,512,16,0.7
00000002,2,data/gene_36class/generated/gene_0/images/seed0002_latClass_0.png,data/gene_36class/generated/gene_0/w/00000002.npz,0,512,512,16,0.7
00000003,3,data/gene_36class/generated/gene_0/images/seed0003_latClass_0.png,data/gene_36class/generated/gene_0/w/00000003.npz,0,512,512,16,0.7
00000004,4,data/gene_36class/generated/gene_0/images/seed0004_latClass_0.png,data/gene_36class/generated/gene_0/w/00000004.npz,0,512,512,16,0.7
00000005,5,data/gene_36class/generated/gene_0/images/seed0005_latClass_0.png,data/gene_36class/generated/gene_0/w/00000005.npz,0,512,512,16,0.7
00000006,6,data/gene_36class/generated/gene_0/images/seed0006_latClass_0.png,data/gene_36class/generated/gene_0/w/00000006.npz,0,512,512,16,0.7
00000007,7,data/gene_36class/generated/gene_0/images/seed0007_latClass_0.png,data/gene_36class/generated/gene_0/w/00000007.npz,0,512,512,16,0.7
00000008,8,data/gene_36class/generated/gene_0/images/seed0008_latClass_0.png,data/gene_36class/generated/gene_0/w/00000008.npz,0,512,512,16,0.7
00000009,9,data/gene_36class/generated/gene_0/images/seed0009_latClass_0.png,data/gene_36class/generated/gene_0/w/00000009.npz,0,512,512,16,0.7
00000010,10,data/gene_36class/generated/gene_0/images/seed0010_latClass_0.png,data/gene_36class/generated/gene_0/w/00000010.npz,0,512,512,16,0.7
00000011,11,data/gene_36class/generated/gene_0/images/seed0011_latClass_0.png,data/gene_36class/generated/gene_0/w/00000011.npz,0,512,512,16,0.7
00000012,12,data/gene_36class/generated/gene_0/images/seed0012_latClass_0.png,data/gene_36class/generated/gene_0/w/00000012.npz,0,512,512,16,0.7
00000013,13,data/gene_36class/generated/gene_0/images/seed0013_latClass_0.png,data/gene_36class/generated/gene_0/w/00000013.npz,0,512,512,16,0.7
00000014,14,data/gene_36class/generated/gene_0/images/seed0014_latClass_0.png,data/gene_36class/generated/gene_0/w/00000014.npz,0,512,512,16,0.7
00000015,15,data/gene_36class/generated/gene_0/images/seed0015_latClass_0.png,data/gene_36class/generated/gene_0/w/00000015.npz,0,512,512,16,0.7
00000016,16,data/gene_36class/generated/gene_0/images/seed0016_latClass_0.png,data/gene_36class/generated/gene_0/w/00000016.npz,0,512,512,16,0.7
00000017,17,data/gene_36class/generated/gene_0/images/seed0017_latClass_0.png,data/gene_36class/generated/gene_0/w/00000017.npz,0,512,512,16,0.7
00000018,18,data/gene_36class/generated/gene_0/images/seed0018_latClass_0.png,data/gene_36class/generated/gene_0/w/00000018.npz,0,512,512,16,0.7
00000019,19,data/gene_36class/generated/gene_0/images/seed0019_latClass_0.png,data/gene_36class/generated/gene_0/w/00000019.npz,0,512,512,16,0.7
00000020,20,data/gene_36class/generated/gene_0/images/seed0020_latClass_0.png,data/gene_36class/generated/gene_0/w/00000020.npz,0,512,512,16,0.7
00000021,21,data/gene_36class/generated/gene_0/images/seed0021_latClass_0.png,data/gene_36class/generated/gene_0/w/00000021.npz,0,512,512,16,0.7
00000022,22,data/gene_36class/generated/gene_0/images/seed0022_latClass_0.png,data/gene_36class/generated/gene_0/w/00000022.npz,0,512,512,16,0.7
00000023,23,data/gene_36class/generated/gene_0/images/seed0023_latClass_0.png,data/gene_36class/generated/gene_0/w/00000023.npz,0,512,512,16,0.7
00000024,24,data/gene_36class/generated/gene_0/images/seed0024_latClass_0.png,data/gene_36class/generated/gene_0/w/00000024.npz,0,512,512,16,0.7
00000025,25,data/gene_36class/generated/gene_0/images/seed0025_latClass_0.png,data/gene_36class/generated/gene_0/w/00000025.npz,0,512,512,16,0.7
00000026,26,data/gene_36class/generated/gene_0/images/seed0026_latClass_0.png,data/gene_36class/generated/gene_0/w/00000026.npz,0,512,512,16,0.7
00000027,27,data/gene_36class/generated/gene_0/images/seed0027_latClass_0.png,data/gene_36class/generated/gene_0/w/00000027.npz,0,512,512,16,0.7
00000028,28,data/gene_36class/generated/gene_0/images/seed0028_latClass_0.png,data/gene_36class/generated/gene_0/w/00000028.npz,0,512,512,16,0.7
00000029,29,data/gene_36class/generated/gene_0/images/seed0029_latClass_0.png,data/gene_36class/generated/gene_0/w/00000029.npz,0,512,512,16,0.7
00000030,30,data/gene_36class/generated/gene_0/images/seed0030_latClass_0.png,data/gene_36class/generated/gene_0/w/00000030.npz,0,512,512,16,0.7
