gen_id,seed,img_path,w_npz_path,gene_class_idx,z_dim,w_dim,num_ws,trunc,lat_pred,lat_conf
0,0,data/laterality/generated/images/seed0000_latClass_0.png,data/laterality/generated/w/00000000.npz,0,512,512,16,0.7,R,0.9448654651641846
1,1,data/laterality/generated/images/seed0001_latClass_0.png,data/laterality/generated/w/00000001.npz,0,512,512,16,0.7,R,0.7901151180267334
2,2,data/laterality/generated/images/seed0002_latClass_0.png,data/laterality/generated/w/00000002.npz,0,512,512,16,0.7,L,0.9790950417518616
3,3,data/laterality/generated/images/seed0003_latClass_0.png,data/laterality/generated/w/00000003.npz,0,512,512,16,0.7,L,0.9459360241889954
4,4,data/laterality/generated/images/seed0004_latClass_0.png,data/laterality/generated/w/00000004.npz,0,512,512,16,0.7,R,0.9825977683067322
5,5,data/laterality/generated/images/seed0005_latClass_0.png,data/laterality/generated/w/00000005.npz,0,512,512,16,0.7,L,0.9837417602539062
6,6,data/laterality/generated/images/seed0006_latClass_0.png,data/laterality/generated/w/00000006.npz,0,512,512,16,0.7,L,0.8418654203414917
7,7,data/laterality/generated/images/seed0007_latClass_0.png,data/laterality/generated/w/00000007.npz,0,512,512,16,0.7,R,0.9840348958969116
8,8,data/laterality/generated/images/seed0008_latClass_0.png,data/laterality/generated/w/00000008.npz,0,512,512,16,0.7,R,0.9877893924713135
9,9,data/laterality/generated/images/seed0009_latClass_0.png,data/laterality/generated/w/00000009.npz,0,512,512,16,0.7,L,0.9882296323776245
10,10,data/laterality/generated/images/seed0010_latClass_0.png,data/laterality/generated/w/00000010.npz,0,512,512,16,0.7,L,0.9309499859809875
11,11,data/laterality/generated/images/seed0011_latClass_0.png,data/laterality/generated/w/00000011.npz,0,512,512,16,0.7,L,0.6861238479614258
12,12,data/laterality/generated/images/seed0012_latClass_0.png,data/laterality/generated/w/00000012.npz,0,512,512,16,0.7,L,0.8748556971549988
13,13,data/laterality/generated/images/seed0013_latClass_0.png,data/laterality/generated/w/00000013.npz,0,512,512,16,0.7,L,0.8999164700508118
14,14,data/laterality/generated/images/seed0014_latClass_0.png,data/laterality/generated/w/00000014.npz,0,512,512,16,0.7,R,0.9323707818984985
15,15,data/laterality/generated/images/seed0015_latClass_0.png,data/laterality/generated/w/00000015.npz,0,512,512,16,0.7,L,0.7635953426361084
16,16,data/laterality/generated/images/seed0016_latClass_0.png,data/laterality/generated/w/00000016.npz,0,512,512,16,0.7,R,0.9961203932762146
17,17,data/laterality/generated/images/seed0017_latClass_0.png,data/laterality/generated/w/00000017.npz,0,512,512,16,0.7,L,0.9996134638786316
18,18,data/laterality/generated/images/seed0018_latClass_0.png,data/laterality/generated/w/00000018.npz,0,512,512,16,0.7,R,0.7290593385696411
19,19,data/laterality/generated/images/seed0019_latClass_0.png,data/laterality/generated/w/00000019.npz,0,512,512,16,0.7,R,0.9923281073570251
20,20,data/laterality/generated/images/seed0020_latClass_0.png,data/laterality/generated/w/00000020.npz,0,512,512,16,0.7,L,0.6581615805625916
21,21,data/laterality/generated/images/seed0021_latClass_0.png,data/laterality/generated/w/00000021.npz,0,512,512,16,0.7,L,0.9758971333503723
22,22,data/laterality/generated/images/seed0022_latClass_0.png,data/laterality/generated/w/00000022.npz,0,512,512,16,0.7,L,0.9840821027755737
23,23,data/laterality/generated/images/seed0023_latClass_0.png,data/laterality/generated/w/00000023.npz,0,512,512,16,0.7,L,0.88704913854599
24,24,data/laterality/generated/images/seed0024_latClass_0.png,data/laterality/generated/w/00000024.npz,0,512,512,16,0.7,R,0.9643576741218567
25,25,data/laterality/generated/images/seed0025_latClass_0.png,data/laterality/generated/w/00000025.npz,0,512,512,16,0.7,R,0.9543185234069824
