sample_id,orig_path,edited_path,reversed_path,source_side,target_side,edit_magnitude,reverse_error
sample_000,experiment/gene_36class/edits/sample_000_original.png,experiment/gene_36class/edits/sample_000_edited.png,experiment/gene_36class/edits/sample_000_reversed.png,gene0,gene35,8.121972,0.001710
sample_001,experiment/gene_36class/edits/sample_001_original.png,experiment/gene_36class/edits/sample_001_edited.png,experiment/gene_36class/edits/sample_001_reversed.png,gene0,gene35,7.546018,0.001591
sample_002,experiment/gene_36class/edits/sample_002_original.png,experiment/gene_36class/edits/sample_002_edited.png,experiment/gene_36class/edits/sample_002_reversed.png,gene0,gene35,8.332612,0.001370
sample_003,experiment/gene_36class/edits/sample_003_original.png,experiment/gene_36class/edits/sample_003_edited.png,experiment/gene_36class/edits/sample_003_reversed.png,gene0,gene35,7.874535,0.001407
sample_004,experiment/gene_36class/edits/sample_004_original.png,experiment/gene_36class/edits/sample_004_edited.png,experiment/gene_36class/edits/sample_004_reversed.png,gene0,gene35,8.657831,0.001273
sample_005,experiment/gene_36class/edits/sample_005_original.png,experiment/gene_36class/edits/sample_005_edited.png,experiment/gene_36class/edits/sample_005_reversed.png,gene0,gene35,8.601095,0.002083
sample_006,experiment/gene_36class/edits/sample_006_original.png,experiment/gene_36class/edits/sample_006_edited.png,experiment/gene_36class/edits/sample_006_reversed.png,gene0,gene35,8.024206,0.001389
sample_007,experiment/gene_36class/edits/sample_007_original.png,experiment/gene_36class/edits/sample_007_edited.png,experiment/gene_36class/edits/sample_007_reversed.png,gene0,gene35,7.015090,0.001172
sample_008,experiment/gene_36class/edits/sample_008_original.png,experiment/gene_36class/edits/sample_008_edited.png,experiment/gene_36class/edits/sample_008_reversed.png,gene0,gene35,7.342544,0.001091
sample_009,experiment/gene_36class/edits/sample_009_original.png,experiment/gene_36class/edits/sample_009_edited.png,experiment/gene_36class/edits/sample_009_reversed.png,gene0,gene35,7.074439,0.001099
sample_000,experiment/gene_36class/edits/sample_000_original.png,experiment/gene_36class/edits/sample_000_edited.png,experiment/gene_36class/edits/sample_000_reversed.png,gene0,gene35,7.764040,0.001744
sample_001,experiment/gene_36class/edits/sample_001_original.png,experiment/gene_36class/edits/sample_001_edited.png,experiment/gene_36class/edits/sample_001_reversed.png,gene0,gene35,7.698900,0.001706
sample_002,experiment/gene_36class/edits/sample_002_original.png,experiment/gene_36class/edits/sample_002_edited.png,experiment/gene_36class/edits/sample_002_reversed.png,gene0,gene35,7.290934,0.001791
sample_003,experiment/gene_36class/edits/sample_003_original.png,experiment/gene_36class/edits/sample_003_edited.png,experiment/gene_36class/edits/sample_003_reversed.png,gene0,gene35,7.962479,0.001433
sample_004,experiment/gene_36class/edits/sample_004_original.png,experiment/gene_36class/edits/sample_004_edited.png,experiment/gene_36class/edits/sample_004_reversed.png,gene0,gene35,8.366718,0.001541
sample_005,experiment/gene_36class/edits/sample_005_original.png,experiment/gene_36class/edits/sample_005_edited.png,experiment/gene_36class/edits/sample_005_reversed.png,gene0,gene35,8.172137,0.001446
sample_006,experiment/gene_36class/edits/sample_006_original.png,experiment/gene_36class/edits/sample_006_edited.png,experiment/gene_36class/edits/sample_006_reversed.png,gene0,gene35,7.841804,0.001301
sample_007,experiment/gene_36class/edits/sample_007_original.png,experiment/gene_36class/edits/sample_007_edited.png,experiment/gene_36class/edits/sample_007_reversed.png,gene0,gene35,7.798364,0.001728
sample_008,experiment/gene_36class/edits/sample_008_original.png,experiment/gene_36class/edits/sample_008_edited.png,experiment/gene_36class/edits/sample_008_reversed.png,gene0,gene35,8.379550,0.001395
sample_009,experiment/gene_36class/edits/sample_009_original.png,experiment/gene_36class/edits/sample_009_edited.png,experiment/gene_36class/edits/sample_009_reversed.png,gene0,gene35,7.922392,0.001516
sample_010,experiment/gene_36class/edits/sample_010_original.png,experiment/gene_36class/edits/sample_010_edited.png,experiment/gene_36class/edits/sample_010_reversed.png,gene0,gene35,8.472223,0.001140
