x,y,z,label,img_path
-4.6768823,6.453888,3.2794008,Real-gene0,data/samples_umap/real/gene_0/gene0_1018_AF_B-2_0.png
-4.031901,8.275808,3.0248394,Real-gene0,data/samples_umap/real/gene_0/gene0_0887_AF_B-0_0.png
-4.279194,9.537433,2.487099,Real-gene0,data/samples_umap/real/gene_0/gene0_0623_AF_B-0_0.png
-4.467975,7.3605266,2.8828723,Real-gene0,data/samples_umap/real/gene_0/gene0_0814_AF_B-1_0.png
-5.1667814,6.3611393,3.3030274,Real-gene0,data/samples_umap/real/gene_0/gene0_0620_AF_B-0_0.png
-7.123958,0.94151133,0.4220468,Real-gene0,data/samples_umap/real/gene_0/gene0_1313_AF_B-0_0.png
-5.710098,3.8321154,1.4622858,Real-gene0,data/samples_umap/real/gene_0/gene0_1513_AF_B-1_0.png
-6.7400284,3.1848176,1.9395404,Real-gene0,data/samples_umap/real/gene_0/gene0_1872_AF_B-0_0.png
-6.7908635,3.7817833,1.887672,Real-gene0,data/samples_umap/real/gene_0/gene0_1411_AF_B-1_0.png
-6.45412,3.543188,2.1893563,Real-gene0,data/samples_umap/real/gene_0/gene0_0472_AF_B-0_0.png
-7.022991,0.7811704,0.3805843,Real-gene0,data/samples_umap/real/gene_0/gene0_1105_AF_B-0_0.png
-7.074277,2.3211088,0.78309226,Real-gene0,data/samples_umap/real/gene_0/gene0_1409_AF_B-0_0.png
-5.174971,5.5690126,2.64201,Real-gene0,data/samples_umap/real/gene_0/gene0_0219_AF_B-0_0.png
-5.584944,5.4252214,2.539261,Real-gene0,data/samples_umap/real/gene_0/gene0_0424_AF_B-1_0.png
-4.8990564,7.118451,3.302555,Real-gene0,data/samples_umap/real/gene_0/gene0_0942_AF_B-0_0.png
-5.3451614,5.695553,2.069436,Real-gene0,data/samples_umap/real/gene_0/gene0_0963_AF_B-0_0.png
-4.5006266,8.563994,2.716792,Real-gene0,data/samples_umap/real/gene_0/gene0_1400_AF_B-3_0.png
-7.1677628,1.6864488,-0.30472162,Real-gene0,data/samples_umap/real/gene_0/gene0_0062_AF_B-0_0.png
-5.0935,6.5820646,3.547529,Real-gene0,data/samples_umap/real/gene_0/gene0_0374_AF_B-0_0.png
-6.4820366,4.153873,2.1975546,Real-gene0,data/samples_umap/real/gene_0/gene0_0030_AF_B-0_0.png
-4.865001,5.1776614,2.2052925,Real-gene0,data/samples_umap/real/gene_0/gene0_0083_AF_B-0_0.png
-5.5293837,3.675435,2.6198409,Real-gene0,data/samples_umap/real/gene_0/gene0_1283_AF_B-1_0.png
-6.816065,3.5728395,1.4441726,Real-gene0,data/samples_umap/real/gene_0/gene0_1792_AF_B-0_0.png
-7.6622586,1.7586577,0.48621523,Real-gene0,data/samples_umap/real/gene_0/gene0_1774_AF_B-0_0.png
-7.6195726,1.8774801,-0.025674002,Real-gene0,data/samples_umap/real/gene_0/gene0_1383_AF_B-0_0.png
-5.0933223,6.450636,3.344803,Real-gene0,data/samples_umap/real/gene_0/gene0_1393_AF_B-0_0.png
-5.313476,3.2817068,2.4135892,Real-gene0,data/samples_umap/real/gene_0/gene0_0858_AF_B-1_0.png
-6.8998914,3.0106022,0.7980528,Real-gene0,data/samples_umap/real/gene_0/gene0_0597_AF_B-0_0.png
-5.2753506,3.4957464,2.4880283,Real-gene0,data/samples_umap/real/gene_0/gene0_0231_AF_B-0_0.png
-4.6676345,8.467927,2.4962215,Real-gene0,data/samples_umap/real/gene_0/gene0_1092_AF_B-0_0.png
-6.7786236,1.6085888,-0.3629609,Real-gene0,data/samples_umap/real/gene_0/gene0_1676_AF_B-0_0.png
-7.3206797,2.1412702,0.021631356,Real-gene0,data/samples_umap/real/gene_0/gene0_1030_AF_B-0_0.png
-4.055647,8.878039,2.8717275,Real-gene0,data/samples_umap/real/gene_0/gene0_0718_AF_B-0_0.png
-4.9509997,5.398461,2.4489455,Real-gene0,data/samples_umap/real/gene_0/gene0_0026_AF_B-0_0.png
-3.9559014,8.406088,3.1143548,Real-gene0,data/samples_umap/real/gene_0/gene0_0158_AF_B-0_0.png
-6.671526,4.339581,1.900042,Real-gene0,data/samples_umap/real/gene_0/gene0_1373_AF_B-0_0.png
-4.7272067,7.022908,3.4019427,Real-gene0,data/samples_umap/real/gene_0/gene0_0464_AF_B-1_0.png
-4.5470843,7.0488,2.9028666,Real-gene0,data/samples_umap/real/gene_0/gene0_0818_AF_B-1_0.png
-4.269353,9.483647,2.4912643,Real-gene0,data/samples_umap/real/gene_0/gene0_0287_AF_B-0_0.png
-4.977889,7.3393784,2.7995923,Real-gene0,data/samples_umap/real/gene_0/gene0_0909_AF_B-2_0.png
-4.44498,8.681508,2.7420752,Real-gene0,data/samples_umap/real/gene_0/gene0_1406_AF_B-0_0.png
