x,y,label,img_path
-1.1937776,3.1155066,Real-gene0,data/samples_umap/real/gene_0/gene0_1018_AF_B-2_0.png
-1.5441418,0.8586171,Real-gene0,data/samples_umap/real/gene_0/gene0_0887_AF_B-0_0.png
-0.5191427,-0.08775457,Real-gene0,data/samples_umap/real/gene_0/gene0_0623_AF_B-0_0.png
-1.6431165,1.7732733,Real-gene0,data/samples_umap/real/gene_0/gene0_0814_AF_B-1_0.png
-1.5480953,3.1637056,Real-gene0,data/samples_umap/real/gene_0/gene0_0620_AF_B-0_0.png
-0.9276748,10.548139,Real-gene0,data/samples_umap/real/gene_0/gene0_1313_AF_B-0_0.png
-1.9136897,6.649455,Real-gene0,data/samples_umap/real/gene_0/gene0_1513_AF_B-1_0.png
-1.8124354,7.3182096,Real-gene0,data/samples_umap/real/gene_0/gene0_1872_AF_B-0_0.png
-2.837603,7.2653966,Real-gene0,data/samples_umap/real/gene_0/gene0_1411_AF_B-1_0.png
-1.846596,6.9870477,Real-gene0,data/samples_umap/real/gene_0/gene0_0472_AF_B-0_0.png
-0.7773898,11.067447,Real-gene0,data/samples_umap/real/gene_0/gene0_1105_AF_B-0_0.png
-2.1564076,9.337195,Real-gene0,data/samples_umap/real/gene_0/gene0_1409_AF_B-0_0.png
-1.784391,3.9787483,Real-gene0,data/samples_umap/real/gene_0/gene0_0219_AF_B-0_0.png
-2.0680263,4.3937783,Real-gene0,data/samples_umap/real/gene_0/gene0_0424_AF_B-1_0.png
-1.265722,1.9365307,Real-gene0,data/samples_umap/real/gene_0/gene0_0942_AF_B-0_0.png
-2.5261528,4.512853,Real-gene0,data/samples_umap/real/gene_0/gene0_0963_AF_B-0_0.png
-0.7176293,0.37284544,Real-gene0,data/samples_umap/real/gene_0/gene0_1400_AF_B-3_0.png
-2.5073063,11.173534,Real-gene0,data/samples_umap/real/gene_0/gene0_0062_AF_B-0_0.png
-1.435848,2.7848957,Real-gene0,data/samples_umap/real/gene_0/gene0_0374_AF_B-0_0.png
-2.437747,6.6763945,Real-gene0,data/samples_umap/real/gene_0/gene0_0030_AF_B-0_0.png
-1.6951065,4.153596,Real-gene0,data/samples_umap/real/gene_0/gene0_0083_AF_B-0_0.png
-1.1299064,6.256051,Real-gene0,data/samples_umap/real/gene_0/gene0_1283_AF_B-1_0.png
-3.0339074,7.9645534,Real-gene0,data/samples_umap/real/gene_0/gene0_1792_AF_B-0_0.png
-0.6869249,10.610898,Real-gene0,data/samples_umap/real/gene_0/gene0_1774_AF_B-0_0.png
-1.8364285,10.277897,Real-gene0,data/samples_umap/real/gene_0/gene0_1383_AF_B-0_0.png
-1.5092506,2.9979172,Real-gene0,data/samples_umap/real/gene_0/gene0_1393_AF_B-0_0.png
-0.56864446,6.623459,Real-gene0,data/samples_umap/real/gene_0/gene0_0858_AF_B-1_0.png
-2.7471755,9.118317,Real-gene0,data/samples_umap/real/gene_0/gene0_0597_AF_B-0_0.png
-0.7393211,6.4126053,Real-gene0,data/samples_umap/real/gene_0/gene0_0231_AF_B-0_0.png
-0.73613036,0.74871385,Real-gene0,data/samples_umap/real/gene_0/gene0_1092_AF_B-0_0.png
-2.3658245,11.241423,Real-gene0,data/samples_umap/real/gene_0/gene0_1676_AF_B-0_0.png
-2.5303082,10.971699,Real-gene0,data/samples_umap/real/gene_0/gene0_1030_AF_B-0_0.png
-1.1610893,0.5136936,Real-gene0,data/samples_umap/real/gene_0/gene0_0718_AF_B-0_0.png
-1.514725,3.9572196,Real-gene0,data/samples_umap/real/gene_0/gene0_0026_AF_B-0_0.png
-1.3321842,0.60485,Real-gene0,data/samples_umap/real/gene_0/gene0_0158_AF_B-0_0.png
-2.9344816,6.6132097,Real-gene0,data/samples_umap/real/gene_0/gene0_1373_AF_B-0_0.png
-1.2831793,2.2762969,Real-gene0,data/samples_umap/real/gene_0/gene0_0464_AF_B-1_0.png
-1.6007855,2.3613188,Real-gene0,data/samples_umap/real/gene_0/gene0_0818_AF_B-1_0.png
-0.4882125,-0.09775664,Real-gene0,data/samples_umap/real/gene_0/gene0_0287_AF_B-0_0.png
-1.3410947,1.6123656,Real-gene0,data/samples_umap/real/gene_0/gene0_0909_AF_B-2_0.png
-0.7201676,0.35287324,Real-gene0,data/samples_umap/real/gene_0/gene0_1406_AF_B-0_0.png
-0.7677914,11.121795,Real-gene0,data/samples_umap/real/gene_0/gene0_1106_AF_B-1_0.png
-1.3271983,0.7136964,Real-gene0,data/samples_umap/real/gene_0/gene0_0106_AF_B-0_0.png
-2.3838549,4.4556785,Real-gene0,data/samples_umap/real/gene_0/gene0_1416_AF_B-0_0.png
-0.7169917,6.392172,Real-gene0,data/samples_umap/real/gene_0/gene0_1332_AF_B-0_0.png
-2.3080323,5.07888,Real-gene0,data/samples_umap/real/gene_0/gene0_1818_AF_B-0_0.png
-1.0957042,6.0004945,Real-gene0,data/samples_umap/real/gene_0/gene0_1388_AF_B-1_0.png
-1.9442663,4.1070185,Real-gene0,data/samples_umap/real/gene_0/gene0_1477_AF_B-0_0.png
-1.3732736,2.0766358,Real-gene0,data/samples_umap/real/gene_0/gene0_1025_AF_B-0_0.png
-1.1949936,3.0269997,Real-gene0,data/samples_umap/real/gene_0/gene0_0570_AF_B-0_0.png
-2.1546955,4.056016,Real-gene0,data/samples_umap/real/gene_0/gene0_0521_AF_B-0_0.png
-2.4520185,6.8557,Real-gene0,data/samples_umap/real/gene_0/gene0_0049_AF_B-0_0.png
-0.8874987,-0.428666,Real-gene0,data/samples_umap/real/gene_0/gene0_0754_AF_B-0_0.png
-0.97706,10.993005,Real-gene0,data/samples_umap/real/gene_0/gene0_1310_AF_B-0_0.png
-3.1144266,9.499643,Real-gene0,data/samples_umap/real/gene_0/gene0_0502_AF_B-0_0.png
-1.7628036,5.7594543,Real-gene0,data/samples_umap/real/gene_0/gene0_0784_AF_B-0_0.png
-1.8099184,3.3293962,Real-gene0,data/samples_umap/real/gene_0/gene0_0432_AF_B-1_0.png
-1.6060814,9.464855,Real-gene0,data/samples_umap/real/gene_0/gene0_1061_AF_B-2_0.png
-0.57241845,10.641193,Real-gene0,data/samples_umap/real/gene_0/gene0_1783_AF_B-0_0.png
-2.578796,10.850294,Real-gene0,data/samples_umap/real/gene_0/gene0_0071_AF_B-0_0.png
-1.6047989,3.9239,Real-gene0,data/samples_umap/real/gene_0/gene0_0029_AF_B-0_0.png
-2.0015461,2.7936618,Real-gene0,data/samples_umap/real/gene_0/gene0_0497_AF_B-0_0.png
-2.0589497,3.5960948,Real-gene0,data/samples_umap/real/gene_0/gene0_0959_AF_B-0_0.png
-1.1013023,5.303853,Real-gene0,data/samples_umap/real/gene_0/gene0_0022_AF_B-0_0.png
-1.0073146,4.2510443,Real-gene0,data/samples_umap/real/gene_0/gene0_1635_AF_B-1_0.png
