x,y,z,label,img_path
6.061843,7.8577075,1.088271,Real-gene0,data/samples_umap/real/gene_0/gene0_1018_AF_B-2_0.png
4.750943,6.801591,1.2484995,Real-gene0,data/samples_umap/real/gene_0/gene0_0887_AF_B-0_0.png
2.772604,5.8560476,1.3921914,Real-gene0,data/samples_umap/real/gene_0/gene0_0623_AF_B-0_0.png
4.62082,6.394302,1.9793464,Real-gene0,data/samples_umap/real/gene_0/gene0_0814_AF_B-1_0.png
5.997952,7.5743685,1.1013393,Real-gene0,data/samples_umap/real/gene_0/gene0_0620_AF_B-0_0.png
9.327781,8.146094,2.562533,Real-gene0,data/samples_umap/real/gene_0/gene0_1313_AF_B-0_0.png
5.7268667,6.690636,2.315911,Real-gene0,data/samples_umap/real/gene_0/gene0_1513_AF_B-1_0.png
8.221049,7.5509624,2.1120367,Real-gene0,data/samples_umap/real/gene_0/gene0_1872_AF_B-0_0.png
7.572826,6.982118,2.2450943,Real-gene0,data/samples_umap/real/gene_0/gene0_1411_AF_B-1_0.png
7.053239,7.8893194,2.2142675,Real-gene0,data/samples_umap/real/gene_0/gene0_0472_AF_B-0_0.png
10.129773,8.668972,2.6723993,Real-gene0,data/samples_umap/real/gene_0/gene0_1105_AF_B-0_0.png
8.740601,8.20955,2.6921437,Real-gene0,data/samples_umap/real/gene_0/gene0_1409_AF_B-0_0.png
6.114316,6.2772903,2.1096418,Real-gene0,data/samples_umap/real/gene_0/gene0_0219_AF_B-0_0.png
5.891823,6.232392,1.7512773,Real-gene0,data/samples_umap/real/gene_0/gene0_0424_AF_B-1_0.png
5.5083866,7.156698,1.1758704,Real-gene0,data/samples_umap/real/gene_0/gene0_0942_AF_B-0_0.png
6.1283507,6.4177623,2.1820304,Real-gene0,data/samples_umap/real/gene_0/gene0_0963_AF_B-0_0.png
3.5811484,6.0970387,1.3018731,Real-gene0,data/samples_umap/real/gene_0/gene0_1400_AF_B-3_0.png
9.028787,8.653361,2.3821611,Real-gene0,data/samples_umap/real/gene_0/gene0_0062_AF_B-0_0.png
5.6855392,7.4369226,1.2669259,Real-gene0,data/samples_umap/real/gene_0/gene0_0374_AF_B-0_0.png
7.29063,7.030828,2.6321642,Real-gene0,data/samples_umap/real/gene_0/gene0_0030_AF_B-0_0.png
4.498849,6.4335737,1.9114554,Real-gene0,data/samples_umap/real/gene_0/gene0_0083_AF_B-0_0.png
7.9974833,8.520472,1.5440547,Real-gene0,data/samples_umap/real/gene_0/gene0_1283_AF_B-1_0.png
8.222054,7.391886,2.1133628,Real-gene0,data/samples_umap/real/gene_0/gene0_1792_AF_B-0_0.png
9.013066,7.938813,3.114026,Real-gene0,data/samples_umap/real/gene_0/gene0_1774_AF_B-0_0.png
9.218579,8.733786,3.0388217,Real-gene0,data/samples_umap/real/gene_0/gene0_1383_AF_B-0_0.png
5.6035843,6.39277,1.9913632,Real-gene0,data/samples_umap/real/gene_0/gene0_1393_AF_B-0_0.png
8.409682,8.758445,2.0429423,Real-gene0,data/samples_umap/real/gene_0/gene0_0858_AF_B-1_0.png
8.173195,7.0657053,2.329299,Real-gene0,data/samples_umap/real/gene_0/gene0_0597_AF_B-0_0.png
8.457419,8.904484,2.0385637,Real-gene0,data/samples_umap/real/gene_0/gene0_0231_AF_B-0_0.png
5.860236,6.3507805,2.0672402,Real-gene0,data/samples_umap/real/gene_0/gene0_1092_AF_B-0_0.png
10.222535,8.238401,2.3047256,Real-gene0,data/samples_umap/real/gene_0/gene0_1676_AF_B-0_0.png
9.207526,8.012906,3.299187,Real-gene0,data/samples_umap/real/gene_0/gene0_1030_AF_B-0_0.png
3.1479294,6.2449064,1.1996458,Real-gene0,data/samples_umap/real/gene_0/gene0_0718_AF_B-0_0.png
6.315167,8.249006,1.6156461,Real-gene0,data/samples_umap/real/gene_0/gene0_0026_AF_B-0_0.png
2.6107268,7.125678,1.1381891,Real-gene0,data/samples_umap/real/gene_0/gene0_0158_AF_B-0_0.png
