x,y,z,label,img_path
6.0251484,5.0052476,8.143043,Real-gene0,data/samples_umap/real/gene_0/gene0_1018_AF_B-2_0.png
4.6368933,4.0212803,8.685445,Real-gene0,data/samples_umap/real/gene_0/gene0_0887_AF_B-0_0.png
2.7021546,3.4546516,8.922493,Real-gene0,data/samples_umap/real/gene_0/gene0_0623_AF_B-0_0.png
4.6436353,3.6749306,8.286771,Real-gene0,data/samples_umap/real/gene_0/gene0_0814_AF_B-1_0.png
6.0679207,4.758584,8.341944,Real-gene0,data/samples_umap/real/gene_0/gene0_0620_AF_B-0_0.png
10.524668,4.637805,6.7462955,Real-gene0,data/samples_umap/real/gene_0/gene0_1313_AF_B-0_0.png
5.7749743,3.5413947,7.945241,Real-gene0,data/samples_umap/real/gene_0/gene0_1513_AF_B-1_0.png
9.112026,4.196591,7.619651,Real-gene0,data/samples_umap/real/gene_0/gene0_1872_AF_B-0_0.png
8.324392,4.0728693,7.9248633,Real-gene0,data/samples_umap/real/gene_0/gene0_1411_AF_B-1_0.png
7.9219956,4.433565,8.420116,Real-gene0,data/samples_umap/real/gene_0/gene0_0472_AF_B-0_0.png
11.516413,5.292896,6.246597,Real-gene0,data/samples_umap/real/gene_0/gene0_1105_AF_B-0_0.png
9.865293,4.6265917,7.4656935,Real-gene0,data/samples_umap/real/gene_0/gene0_1409_AF_B-0_0.png
5.8567224,3.41606,8.28578,Real-gene0,data/samples_umap/real/gene_0/gene0_0219_AF_B-0_0.png
5.784357,3.3432026,8.24049,Real-gene0,data/samples_umap/real/gene_0/gene0_0424_AF_B-1_0.png
5.6877255,4.444824,8.519812,Real-gene0,data/samples_umap/real/gene_0/gene0_0942_AF_B-0_0.png
6.332306,3.424921,8.430199,Real-gene0,data/samples_umap/real/gene_0/gene0_0963_AF_B-0_0.png
3.5604944,3.5753772,9.007483,Real-gene0,data/samples_umap/real/gene_0/gene0_1400_AF_B-3_0.png
10.288724,5.1362743,6.316135,Real-gene0,data/samples_umap/real/gene_0/gene0_0062_AF_B-0_0.png
5.5626397,4.6302414,8.370487,Real-gene0,data/samples_umap/real/gene_0/gene0_0374_AF_B-0_0.png
8.307783,4.060996,8.4981,Real-gene0,data/samples_umap/real/gene_0/gene0_0030_AF_B-0_0.png
4.604786,3.8085492,8.203535,Real-gene0,data/samples_umap/real/gene_0/gene0_0083_AF_B-0_0.png
8.578556,5.135014,7.035934,Real-gene0,data/samples_umap/real/gene_0/gene0_1283_AF_B-1_0.png
9.270878,4.0750184,7.5481973,Real-gene0,data/samples_umap/real/gene_0/gene0_1792_AF_B-0_0.png
10.865636,4.2684064,7.858504,Real-gene0,data/samples_umap/real/gene_0/gene0_1774_AF_B-0_0.png
11.211395,5.2956104,7.610515,Real-gene0,data/samples_umap/real/gene_0/gene0_1383_AF_B-0_0.png
5.5335736,3.728688,8.389015,Real-gene0,data/samples_umap/real/gene_0/gene0_1393_AF_B-0_0.png
9.482335,5.0091014,6.8660846,Real-gene0,data/samples_umap/real/gene_0/gene0_0858_AF_B-1_0.png
