sample_id,orig_path,edited_path,reversed_path,source_side,target_side,edit_magnitude,reverse_error
sample_000,experiment/laterality/edits/sample_000_original.png,experiment/laterality/edits/sample_000_edited.png,experiment/laterality/edits/sample_000_reversed.png,right,left,4.196806,0.004620
sample_001,experiment/laterality/edits/sample_001_original.png,experiment/laterality/edits/sample_001_edited.png,experiment/laterality/edits/sample_001_reversed.png,right,left,4.592205,0.003205
sample_002,experiment/laterality/edits/sample_002_original.png,experiment/laterality/edits/sample_002_edited.png,experiment/laterality/edits/sample_002_reversed.png,left,right,4.550860,0.003775
sample_003,experiment/laterality/edits/sample_003_original.png,experiment/laterality/edits/sample_003_edited.png,experiment/laterality/edits/sample_003_reversed.png,right,left,4.262390,0.002062
sample_004,experiment/laterality/edits/sample_004_original.png,experiment/laterality/edits/sample_004_edited.png,experiment/laterality/edits/sample_004_reversed.png,right,left,5.207600,0.002931
sample_005,experiment/laterality/edits/sample_005_original.png,experiment/laterality/edits/sample_005_edited.png,experiment/laterality/edits/sample_005_reversed.png,right,left,5.391596,0.004036
sample_006,experiment/laterality/edits/sample_006_original.png,experiment/laterality/edits/sample_006_edited.png,experiment/laterality/edits/sample_006_reversed.png,right,left,4.705690,0.003143
sample_007,experiment/laterality/edits/sample_007_original.png,experiment/laterality/edits/sample_007_edited.png,experiment/laterality/edits/sample_007_reversed.png,left,right,4.358565,0.002473
sample_008,experiment/laterality/edits/sample_008_original.png,experiment/laterality/edits/sample_008_edited.png,experiment/laterality/edits/sample_008_reversed.png,right,left,5.215486,0.003324
sample_009,experiment/laterality/edits/sample_009_original.png,experiment/laterality/edits/sample_009_edited.png,experiment/laterality/edits/sample_009_reversed.png,right,left,4.584929,0.002586
sample_010,experiment/laterality/edits/sample_010_original.png,experiment/laterality/edits/sample_010_edited.png,experiment/laterality/edits/sample_010_reversed.png,left,right,4.357081,0.003322
sample_011,experiment/laterality/edits/sample_011_original.png,experiment/laterality/edits/sample_011_edited.png,experiment/laterality/edits/sample_011_reversed.png,left,right,4.430396,0.003302
sample_012,experiment/laterality/edits/sample_012_original.png,experiment/laterality/edits/sample_012_edited.png,experiment/laterality/edits/sample_012_reversed.png,left,right,5.656136,0.003183
sample_013,experiment/laterality/edits/sample_013_original.png,experiment/laterality/edits/sample_013_edited.png,experiment/laterality/edits/sample_013_reversed.png,right,left,4.405955,0.004386
sample_014,experiment/laterality/edits/sample_014_original.png,experiment/laterality/edits/sample_014_edited.png,experiment/laterality/edits/sample_014_reversed.png,left,right,4.029113,0.003404
sample_015,experiment/laterality/edits/sample_015_original.png,experiment/laterality/edits/sample_015_edited.png,experiment/laterality/edits/sample_015_reversed.png,left,right,4.526262,0.003051
sample_016,experiment/laterality/edits/sample_016_original.png,experiment/laterality/edits/sample_016_edited.png,experiment/laterality/edits/sample_016_reversed.png,right,left,5.200380,0.003134
sample_017,experiment/laterality/edits/sample_017_original.png,experiment/laterality/edits/sample_017_edited.png,experiment/laterality/edits/sample_017_reversed.png,left,right,6.039083,0.003751
sample_018,experiment/laterality/edits/sample_018_original.png,experiment/laterality/edits/sample_018_edited.png,experiment/laterality/edits/sample_018_reversed.png,left,right,4.652102,0.002558
sample_019,experiment/laterality/edits/sample_019_original.png,experiment/laterality/edits/sample_019_edited.png,experiment/laterality/edits/sample_019_reversed.png,left,right,4.484372,0.002709
sample_020,experiment/laterality/edits/sample_020_original.png,experiment/laterality/edits/sample_020_edited.png,experiment/laterality/edits/sample_020_reversed.png,right,left,5.547130,0.003510
sample_021,experiment/laterality/edits/sample_021_original.png,experiment/laterality/edits/sample_021_edited.png,experiment/laterality/edits/sample_021_reversed.png,left,right,5.393748,0.006487
