x,y,z,label,img_path
3.3975117,0.74259406,4.3233075,Real-L,data/samples_umap/real/L/L_0000_AF_B-1_0.png
5.944786,0.35208216,6.8535175,Real-L,data/samples_umap/real/L/L_0001_AF_B-0_0.png
5.948784,0.33416724,6.865857,Real-L,data/samples_umap/real/L/L_0002_AF_B-1_0.png
6.3217964,0.37043807,6.9995923,Real-L,data/samples_umap/real/L/L_0003_AF_B-0_0.png
6.2598376,0.2930793,7.00326,Real-L,data/samples_umap/real/L/L_0004_AF_B-1_0.png
8.635628,3.9386673,5.764473,Real-L,data/samples_umap/real/L/L_0005_AF_B-0_0.png
8.38289,3.8276582,5.717865,Real-L,data/samples_umap/real/L/L_0006_AF_B-0_0.png
8.404638,4.715083,4.739566,Real-L,data/samples_umap/real/L/L_0007_AF_B-0_0.png
8.16831,4.334205,5.6629853,Real-L,data/samples_umap/real/L/L_0008_AF_B-1_0.png
8.581485,4.1318765,5.712356,Real-L,data/samples_umap/real/L/L_0009_AF_B-2_0.png
8.582877,4.1716256,5.7135034,Real-L,data/samples_umap/real/L/L_0010_AF_B-3_0.png
7.430344,3.6546662,6.2085056,Real-L,data/samples_umap/real/L/L_0011_AF_B-4_0.png
8.525207,4.057034,5.7551203,Real-L,data/samples_umap/real/L/L_0012_AF_B-0_0.png
8.52879,4.046906,5.721986,Real-L,data/samples_umap/real/L/L_0013_AF_B-1_0.png
8.375841,3.8179786,5.723025,Real-L,data/samples_umap/real/L/L_0014_AF_B-0_0.png
8.277418,3.613224,5.669728,Real-L,data/samples_umap/real/L/L_0015_AF_B-0_0.png
6.698179,2.5587196,5.0711412,Real-L,data/samples_umap/real/L/L_0016_AF_B-0_0.png
7.647643,5.2790446,4.253637,Real-L,data/samples_umap/real/L/L_0017_AF_B-0_0.png
7.6134267,5.3243337,4.2762074,Real-L,data/samples_umap/real/L/L_0018_AF_B-1_0.png
7.614932,5.349381,4.27359,Real-L,data/samples_umap/real/L/L_0019_AF_B-2_0.png
7.5565248,5.2989273,4.2393794,Real-L,data/samples_umap/real/L/L_0020_AF_B-0_0.png
7.5552435,5.3015637,4.2411957,Real-L,data/samples_umap/real/L/L_0021_AF_B-1_0.png
7.6009254,5.2861023,4.2561116,Real-L,data/samples_umap/real/L/L_0022_AF_B-2_0.png
7.5943146,5.309692,4.2817316,Real-L,data/samples_umap/real/L/L_0023_AF_B-0_0.png
7.5908027,5.254079,4.278016,Real-L,data/samples_umap/real/L/L_0024_AF_B-1_0.png
7.5857925,5.346604,4.2966886,Real-L,data/samples_umap/real/L/L_0025_AF_B-0_0.png
5.632845,2.7635639,4.387194,Real-L,data/samples_umap/real/L/L_0026_AF_B-0_0.png
5.8280582,3.170847,4.616984,Real-L,data/samples_umap/real/L/L_0027_AF_B-0_0.png
8.33896,2.4651594,6.8571877,Real-L,data/samples_umap/real/L/L_0028_AF_B-0_0.png
8.081701,5.1244035,4.411371,Real-L,data/samples_umap/real/L/L_0029_AF_B-0_0.png
8.070779,5.059605,4.443529,Real-L,data/samples_umap/real/L/L_0030_AF_B-1_0.png
5.3539534,1.4643952,6.2716227,Real-L,data/samples_umap/real/L/L_0031_AF_B-0_0.png
5.414452,1.4956445,6.2004647,Real-L,data/samples_umap/real/L/L_0032_AF_B-1_0.png
9.742704,5.4282503,6.046126,Real-L,data/samples_umap/real/L/L_0033_AF_B-0_0.png
