x,y,label,img_path
9.594935,6.511131,Real-L,data/samples_umap/real/L/L_0000_AF_B-1_0.png
7.034098,8.535944,Real-L,data/samples_umap/real/L/L_0001_AF_B-0_0.png
7.0317583,8.509279,Real-L,data/samples_umap/real/L/L_0002_AF_B-1_0.png
6.7371182,8.438564,Real-L,data/samples_umap/real/L/L_0003_AF_B-0_0.png
6.7773848,8.479436,Real-L,data/samples_umap/real/L/L_0004_AF_B-1_0.png
3.6584342,6.928171,Real-L,data/samples_umap/real/L/L_0005_AF_B-0_0.png
3.9430811,7.0173936,Real-L,data/samples_umap/real/L/L_0006_AF_B-0_0.png
3.1619797,4.93157,Real-L,data/samples_umap/real/L/L_0007_AF_B-0_0.png
4.3666706,7.0822363,Real-L,data/samples_umap/real/L/L_0008_AF_B-1_0.png
3.6918883,6.9271607,Real-L,data/samples_umap/real/L/L_0009_AF_B-2_0.png
3.719186,6.9384694,Real-L,data/samples_umap/real/L/L_0010_AF_B-3_0.png
4.9806285,7.5912895,Real-L,data/samples_umap/real/L/L_0011_AF_B-4_0.png
3.7212346,6.9297895,Real-L,data/samples_umap/real/L/L_0012_AF_B-0_0.png
3.7281961,6.9027777,Real-L,data/samples_umap/real/L/L_0013_AF_B-1_0.png
3.825772,6.803125,Real-L,data/samples_umap/real/L/L_0014_AF_B-0_0.png
4.0212803,6.666743,Real-L,data/samples_umap/real/L/L_0015_AF_B-0_0.png
5.930909,6.2682767,Real-L,data/samples_umap/real/L/L_0016_AF_B-0_0.png
3.0223415,3.347152,Real-L,data/samples_umap/real/L/L_0017_AF_B-0_0.png
3.011113,3.3883173,Real-L,data/samples_umap/real/L/L_0018_AF_B-1_0.png
3.0140684,3.3555694,Real-L,data/samples_umap/real/L/L_0019_AF_B-2_0.png
3.0327535,3.3258824,Real-L,data/samples_umap/real/L/L_0020_AF_B-0_0.png
3.0414667,3.324568,Real-L,data/samples_umap/real/L/L_0021_AF_B-1_0.png
3.0284483,3.3167148,Real-L,data/samples_umap/real/L/L_0022_AF_B-2_0.png
3.0063405,3.366387,Real-L,data/samples_umap/real/L/L_0023_AF_B-0_0.png
3.044316,3.335203,Real-L,data/samples_umap/real/L/L_0024_AF_B-1_0.png
3.004599,3.338838,Real-L,data/samples_umap/real/L/L_0025_AF_B-0_0.png
6.82625,5.852712,Real-L,data/samples_umap/real/L/L_0026_AF_B-0_0.png
6.343907,5.991908,Real-L,data/samples_umap/real/L/L_0027_AF_B-0_0.png
4.299976,8.989077,Real-L,data/samples_umap/real/L/L_0028_AF_B-0_0.png
3.1039622,4.19926,Real-L,data/samples_umap/real/L/L_0029_AF_B-0_0.png
3.0890765,4.2201066,Real-L,data/samples_umap/real/L/L_0030_AF_B-1_0.png
7.7635126,8.131506,Real-L,data/samples_umap/real/L/L_0031_AF_B-0_0.png
7.7255054,8.001873,Real-L,data/samples_umap/real/L/L_0032_AF_B-1_0.png
2.6097355,7.6991024,Real-L,data/samples_umap/real/L/L_0033_AF_B-0_0.png
2.48694,7.5960493,Real-L,data/samples_umap/real/L/L_0034_AF_B-0_0.png
2.5031016,7.6332197,Real-L,data/samples_umap/real/L/L_0035_AF_B-0_0.png
2.345469,7.6378393,Real-L,data/samples_umap/real/L/L_0036_AF_B-1_0.png
2.7633843,7.7072206,Real-L,data/samples_umap/real/L/L_0037_AF_B-0_0.png
2.7905707,7.615283,Real-L,data/samples_umap/real/L/L_0038_AF_B-0_0.png
2.574323,7.122355,Real-L,data/samples_umap/real/L/L_0039_AF_B-0_0.png
6.7542334,6.0184226,Real-L,data/samples_umap/real/L/L_0040_AF_B-0_0.png
6.7466984,6.007622,Real-L,data/samples_umap/real/L/L_0041_AF_B-1_0.png
6.7565594,6.0623884,Real-L,data/samples_umap/real/L/L_0042_AF_B-0_0.png
6.784844,6.0627756,Real-L,data/samples_umap/real/L/L_0043_AF_B-1_0.png
7.2933726,6.0289316,Real-L,data/samples_umap/real/L/L_0044_AF_B-0_0.png
5.287026,7.849617,Real-L,data/samples_umap/real/L/L_0045_AF_B-0_0.png
5.318701,7.8454266,Real-L,data/samples_umap/real/L/L_0046_AF_B-1_0.png
8.116883,9.515083,Real-L,data/samples_umap/real/L/L_0047_AF_B-2_0.png
8.210002,9.578593,Real-L,data/samples_umap/real/L/L_0048_AF_B-3_0.png
6.865321,5.939134,Real-L,data/samples_umap/real/L/L_0049_AF_B-0_0.png
6.866578,5.9719725,Real-L,data/samples_umap/real/L/L_0050_AF_B-0_0.png
6.864055,5.932443,Real-L,data/samples_umap/real/L/L_0051_AF_B-1_0.png
3.6883094,6.640953,Real-L,data/samples_umap/real/L/L_0052_AF_B-0_0.png
4.0985627,6.552933,Real-L,data/samples_umap/real/L/L_0053_AF_B-0_0.png
4.0292253,6.5037613,Real-L,data/samples_umap/real/L/L_0054_AF_B-1_0.png
6.3301272,8.029525,Real-L,data/samples_umap/real/L/L_0055_AF_B-0_0.png
6.3336554,8.029479,Real-L,data/samples_umap/real/L/L_0056_AF_B-1_0.png
6.1188755,8.140286,Real-L,data/samples_umap/real/L/L_0057_AF_B-0_0.png
6.6363244,8.947529,Real-L,data/samples_umap/real/L/L_0058_AF_B-0_0.png
5.2059145,8.866598,Real-L,data/samples_umap/real/L/L_0059_AF_B-0_0.png
7.331092,9.648228,Real-L,data/samples_umap/real/L/L_0060_AF_B-1_0.png
5.202069,8.776603,Real-L,data/samples_umap/real/L/L_0061_AF_B-0_0.png
5.1810446,8.747512,Real-L,data/samples_umap/real/L/L_0062_AF_B-1_0.png
0.058223207,7.6758094,Real-L,data/samples_umap/real/L/L_0063_AF_B-0_0.png
-0.03535535,7.828734,Real-L,data/samples_umap/real/L/L_0064_AF_B-0_0.png
0.03456876,7.801086,Real-L,data/samples_umap/real/L/L_0065_AF_B-0_0.png
-0.003373694,7.801955,Real-L,data/samples_umap/real/L/L_0066_AF_B-1_0.png
0.10134116,7.827452,Real-L,data/samples_umap/real/L/L_0067_AF_B-0_0.png
0.012332607,7.8285346,Real-L,data/samples_umap/real/L/L_0068_AF_B-0_0.png
-3.0414999,3.9992042,Real-L,data/samples_umap/real/L/L_0069_AF_B-0_0.png
5.8850336,6.925667,Real-L,data/samples_umap/real/L/L_0070_AF_B-0_0.png
5.9565177,7.0960155,Real-L,data/samples_umap/real/L/L_0071_AF_B-1_0.png
5.7861266,7.0881004,Real-L,data/samples_umap/real/L/L_0072_AF_B-0_0.png
5.7141485,6.9678535,Real-L,data/samples_umap/real/L/L_0073_AF_B-1_0.png
5.76409,6.912268,Real-L,data/samples_umap/real/L/L_0074_AF_B-2_0.png
5.650693,6.8643985,Real-L,data/samples_umap/real/L/L_0075_AF_B-3_0.png
5.679838,6.9876776,Real-L,data/samples_umap/real/L/L_0076_AF_B-0_0.png
5.7791634,6.947057,Real-L,data/samples_umap/real/L/L_0077_AF_B-1_0.png
5.909902,6.8917556,Real-L,data/samples_umap/real/L/L_0078_AF_B-0_0.png
4.2637386,7.8304257,Real-L,data/samples_umap/real/L/L_0079_AF_B-0_0.png
4.269828,7.8658276,Real-L,data/samples_umap/real/L/L_0080_AF_B-0_0.png
4.2793016,7.803582,Real-L,data/samples_umap/real/L/L_0081_AF_B-0_0.png
4.2328978,7.781165,Real-L,data/samples_umap/real/L/L_0082_AF_B-1_0.png
6.353841,7.6389184,Real-L,data/samples_umap/real/L/L_0083_AF_B-0_0.png
4.1697965,7.7002087,Real-L,data/samples_umap/real/L/L_0084_AF_B-0_0.png
5.125203,7.669978,Real-L,data/samples_umap/real/L/L_0085_AF_B-0_0.png
5.070557,7.68182,Real-L,data/samples_umap/real/L/L_0086_AF_B-1_0.png
5.133215,7.701125,Real-L,data/samples_umap/real/L/L_0087_AF_B-2_0.png
6.5808268,8.222819,Real-L,data/samples_umap/real/L/L_0088_AF_B-0_0.png
6.2980804,6.9563065,Real-L,data/samples_umap/real/L/L_0089_AF_B-0_0.png
7.6431637,6.567923,Real-L,data/samples_umap/real/L/L_0090_AF_B-0_0.png
