x,y,z,label,img_path
7.805706,7.4042172,2.236487,Real-L,data/samples_umap/real/L/L_0000_AF_B-1_0.png
6.053092,9.183595,4.0525074,Real-L,data/samples_umap/real/L/L_0001_AF_B-0_0.png
6.039378,9.189464,4.0239463,Real-L,data/samples_umap/real/L/L_0002_AF_B-1_0.png
5.7360516,9.176995,4.1613493,Real-L,data/samples_umap/real/L/L_0003_AF_B-0_0.png
5.7682343,9.22294,4.169541,Real-L,data/samples_umap/real/L/L_0004_AF_B-1_0.png
3.0608118,7.196971,5.3874564,Real-L,data/samples_umap/real/L/L_0005_AF_B-0_0.png
3.3622942,6.9967785,5.407685,Real-L,data/samples_umap/real/L/L_0006_AF_B-0_0.png
2.578348,5.6061845,4.9471827,Real-L,data/samples_umap/real/L/L_0007_AF_B-0_0.png
3.4487722,6.797322,5.6663203,Real-L,data/samples_umap/real/L/L_0008_AF_B-1_0.png
3.1029286,7.0293946,5.4945664,Real-L,data/samples_umap/real/L/L_0009_AF_B-2_0.png
3.07947,7.023399,5.4470177,Real-L,data/samples_umap/real/L/L_0010_AF_B-3_0.png
5.021712,7.495022,5.499651,Real-L,data/samples_umap/real/L/L_0011_AF_B-4_0.png
3.1212652,7.070669,5.4444294,Real-L,data/samples_umap/real/L/L_0012_AF_B-0_0.png
3.1236267,7.059171,5.472758,Real-L,data/samples_umap/real/L/L_0013_AF_B-1_0.png
3.187155,7.058362,5.2345,Real-L,data/samples_umap/real/L/L_0014_AF_B-0_0.png
3.2741501,7.075364,5.124225,Real-L,data/samples_umap/real/L/L_0015_AF_B-0_0.png
4.681844,6.7971067,3.83974,Real-L,data/samples_umap/real/L/L_0016_AF_B-0_0.png
2.5723407,4.5403194,5.857749,Real-L,data/samples_umap/real/L/L_0017_AF_B-0_0.png
2.5901003,4.543861,5.90478,Real-L,data/samples_umap/real/L/L_0018_AF_B-1_0.png
2.560905,4.565213,5.872153,Real-L,data/samples_umap/real/L/L_0019_AF_B-2_0.png
2.5828817,4.5263524,5.876129,Real-L,data/samples_umap/real/L/L_0020_AF_B-0_0.png
2.6135306,4.49368,5.8947577,Real-L,data/samples_umap/real/L/L_0021_AF_B-1_0.png
2.5871236,4.491885,5.8877172,Real-L,data/samples_umap/real/L/L_0022_AF_B-2_0.png
2.578567,4.5374002,5.859552,Real-L,data/samples_umap/real/L/L_0023_AF_B-0_0.png
2.6053276,4.526621,5.8869357,Real-L,data/samples_umap/real/L/L_0024_AF_B-1_0.png
2.608959,4.5348835,5.940115,Real-L,data/samples_umap/real/L/L_0025_AF_B-0_0.png
5.6793447,6.3028927,3.7394457,Real-L,data/samples_umap/real/L/L_0026_AF_B-0_0.png
5.4029646,6.2539616,4.0685763,Real-L,data/samples_umap/real/L/L_0027_AF_B-0_0.png
3.5048265,8.533625,5.1772575,Real-L,data/samples_umap/real/L/L_0028_AF_B-0_0.png
2.561846,5.265871,5.60167,Real-L,data/samples_umap/real/L/L_0029_AF_B-0_0.png
2.5526824,5.2756677,5.600636,Real-L,data/samples_umap/real/L/L_0030_AF_B-1_0.png
6.686702,8.188813,4.388732,Real-L,data/samples_umap/real/L/L_0031_AF_B-0_0.png
6.6349187,8.1459255,4.355676,Real-L,data/samples_umap/real/L/L_0032_AF_B-1_0.png
1.9072995,7.417888,5.990349,Real-L,data/samples_umap/real/L/L_0033_AF_B-0_0.png
1.0028243,6.7238817,6.3343678,Real-L,data/samples_umap/real/L/L_0034_AF_B-0_0.png
0.9149934,6.620355,6.499507,Real-L,data/samples_umap/real/L/L_0035_AF_B-0_0.png
0.77779233,6.7610273,6.639389,Real-L,data/samples_umap/real/L/L_0036_AF_B-1_0.png
2.2153347,7.610137,5.6541367,Real-L,data/samples_umap/real/L/L_0037_AF_B-0_0.png
2.146838,7.6056314,5.4814377,Real-L,data/samples_umap/real/L/L_0038_AF_B-0_0.png
1.7832764,7.181799,4.9842334,Real-L,data/samples_umap/real/L/L_0039_AF_B-0_0.png
5.559692,6.484179,3.7573647,Real-L,data/samples_umap/real/L/L_0040_AF_B-0_0.png
5.5427594,6.4545197,3.745518,Real-L,data/samples_umap/real/L/L_0041_AF_B-1_0.png
5.5813785,6.564841,3.8580947,Real-L,data/samples_umap/real/L/L_0042_AF_B-0_0.png
5.5986767,6.573202,3.8684785,Real-L,data/samples_umap/real/L/L_0043_AF_B-1_0.png
6.0281835,6.573608,3.607137,Real-L,data/samples_umap/real/L/L_0044_AF_B-0_0.png
5.7619476,7.971692,5.623308,Real-L,data/samples_umap/real/L/L_0045_AF_B-0_0.png
5.80389,7.9818263,5.624339,Real-L,data/samples_umap/real/L/L_0046_AF_B-1_0.png
6.9856253,8.584871,5.1891923,Real-L,data/samples_umap/real/L/L_0047_AF_B-2_0.png
7.0352674,8.5173645,5.1741705,Real-L,data/samples_umap/real/L/L_0048_AF_B-3_0.png
5.6618032,6.4420013,3.7001011,Real-L,data/samples_umap/real/L/L_0049_AF_B-0_0.png
5.6708317,6.455015,3.6871228,Real-L,data/samples_umap/real/L/L_0050_AF_B-0_0.png
5.6946397,6.443566,3.6996922,Real-L,data/samples_umap/real/L/L_0051_AF_B-1_0.png
2.6637616,7.3515964,4.995317,Real-L,data/samples_umap/real/L/L_0052_AF_B-0_0.png
3.3016107,7.000927,4.925347,Real-L,data/samples_umap/real/L/L_0053_AF_B-0_0.png
3.2825494,6.9035482,4.993538,Real-L,data/samples_umap/real/L/L_0054_AF_B-1_0.png
5.0101423,8.610883,3.770654,Real-L,data/samples_umap/real/L/L_0055_AF_B-0_0.png
4.994457,8.597129,3.7618644,Real-L,data/samples_umap/real/L/L_0056_AF_B-1_0.png
4.8381333,8.663429,3.8903017,Real-L,data/samples_umap/real/L/L_0057_AF_B-0_0.png
5.7165637,9.18944,4.4263964,Real-L,data/samples_umap/real/L/L_0058_AF_B-0_0.png
4.7494082,8.553647,5.556507,Real-L,data/samples_umap/real/L/L_0059_AF_B-0_0.png
6.1682553,8.910747,5.309628,Real-L,data/samples_umap/real/L/L_0060_AF_B-1_0.png
