x,y,label,img_path
16.199831,9.655601,Real-L,data/samples_umap/real/L/L_0000_AF_B-1_0.png
12.734833,8.352106,Real-L,data/samples_umap/real/L/L_0001_AF_B-0_0.png
12.697497,8.388765,Real-L,data/samples_umap/real/L/L_0002_AF_B-1_0.png
11.880309,8.367017,Real-L,data/samples_umap/real/L/L_0003_AF_B-0_0.png
12.008088,8.270573,Real-L,data/samples_umap/real/L/L_0004_AF_B-1_0.png
15.460773,8.287261,Real-L,data/samples_umap/real/L/L_0005_AF_B-0_0.png
13.245324,2.1441815,Real-L,data/samples_umap/real/L/L_0006_AF_B-0_0.png
12.742635,8.382521,Real-L,data/samples_umap/real/L/L_0007_AF_B-0_0.png
13.582624,7.9907403,Real-L,data/samples_umap/real/L/L_0008_AF_B-1_0.png
12.677758,7.307288,Real-L,data/samples_umap/real/L/L_0009_AF_B-2_0.png
12.679448,7.4831448,Real-L,data/samples_umap/real/L/L_0010_AF_B-3_0.png
12.964675,1.7767267,Real-L,data/samples_umap/real/L/L_0011_AF_B-4_0.png
15.718854,7.7557535,Real-L,data/samples_umap/real/L/L_0012_AF_B-0_0.png
15.718364,7.7787685,Real-L,data/samples_umap/real/L/L_0013_AF_B-1_0.png
14.668809,7.0332847,Real-L,data/samples_umap/real/L/L_0014_AF_B-0_0.png
13.574024,2.3754153,Real-L,data/samples_umap/real/L/L_0015_AF_B-0_0.png
14.532027,7.510402,Real-L,data/samples_umap/real/L/L_0016_AF_B-0_0.png
15.808811,7.590934,Real-L,data/samples_umap/real/L/L_0017_AF_B-0_0.png
16.297684,8.692371,Real-L,data/samples_umap/real/L/L_0018_AF_B-1_0.png
16.148895,8.402157,Real-L,data/samples_umap/real/L/L_0019_AF_B-2_0.png
14.863726,6.6081886,Real-L,data/samples_umap/real/L/L_0020_AF_B-0_0.png
15.025631,6.7343655,Real-L,data/samples_umap/real/L/L_0021_AF_B-1_0.png
15.052539,6.6862335,Real-L,data/samples_umap/real/L/L_0022_AF_B-2_0.png
15.730086,7.4490857,Real-L,data/samples_umap/real/L/L_0023_AF_B-0_0.png
15.747117,7.451061,Real-L,data/samples_umap/real/L/L_0024_AF_B-1_0.png
15.703418,7.436432,Real-L,data/samples_umap/real/L/L_0025_AF_B-0_0.png
13.952637,7.5878005,Real-L,data/samples_umap/real/L/L_0026_AF_B-0_0.png
16.540947,9.432233,Real-L,data/samples_umap/real/L/L_0027_AF_B-0_0.png
16.076529,8.577954,Real-L,data/samples_umap/real/L/L_0028_AF_B-0_0.png
15.549388,8.1980295,Real-L,data/samples_umap/real/L/L_0029_AF_B-0_0.png
15.506177,8.133389,Real-L,data/samples_umap/real/L/L_0030_AF_B-1_0.png
14.966289,8.729759,Real-L,data/samples_umap/real/L/L_0031_AF_B-0_0.png
14.95499,8.72016,Real-L,data/samples_umap/real/L/L_0032_AF_B-1_0.png
14.158137,6.5043697,Real-L,data/samples_umap/real/L/L_0033_AF_B-0_0.png
13.22272,6.533093,Real-L,data/samples_umap/real/L/L_0034_AF_B-0_0.png
14.189223,6.3093276,Real-L,data/samples_umap/real/L/L_0035_AF_B-0_0.png
16.02451,7.9398146,Real-L,data/samples_umap/real/L/L_0036_AF_B-1_0.png
13.969763,6.2732472,Real-L,data/samples_umap/real/L/L_0037_AF_B-0_0.png
15.05252,7.3079467,Real-L,data/samples_umap/real/L/L_0038_AF_B-0_0.png
14.624604,7.358763,Real-L,data/samples_umap/real/L/L_0039_AF_B-0_0.png
15.241097,8.663913,Real-L,data/samples_umap/real/L/L_0040_AF_B-0_0.png
15.251245,8.643157,Real-L,data/samples_umap/real/L/L_0041_AF_B-1_0.png
16.272797,9.241542,Real-L,data/samples_umap/real/L/L_0042_AF_B-0_0.png
16.338291,9.275667,Real-L,data/samples_umap/real/L/L_0043_AF_B-1_0.png
16.589739,9.492873,Real-L,data/samples_umap/real/L/L_0044_AF_B-0_0.png
15.416409,9.30734,Real-L,data/samples_umap/real/L/L_0045_AF_B-0_0.png
15.3442135,9.249185,Real-L,data/samples_umap/real/L/L_0046_AF_B-1_0.png
15.013806,8.915918,Real-L,data/samples_umap/real/L/L_0047_AF_B-2_0.png
15.8284,9.585045,Real-L,data/samples_umap/real/L/L_0048_AF_B-3_0.png
15.165967,9.424311,Real-L,data/samples_umap/real/L/L_0049_AF_B-0_0.png
15.359345,9.107414,Real-L,data/samples_umap/real/L/L_0050_AF_B-0_0.png
15.374643,9.112938,Real-L,data/samples_umap/real/L/L_0051_AF_B-1_0.png
14.527767,7.1901264,Real-L,data/samples_umap/real/L/L_0052_AF_B-0_0.png
12.823703,8.240338,Real-L,data/samples_umap/real/L/L_0053_AF_B-0_0.png
12.793123,8.2263975,Real-L,data/samples_umap/real/L/L_0054_AF_B-1_0.png
11.768674,8.350717,Real-L,data/samples_umap/real/L/L_0055_AF_B-0_0.png
11.793954,8.364034,Real-L,data/samples_umap/real/L/L_0056_AF_B-1_0.png
12.207576,7.991882,Real-L,data/samples_umap/real/L/L_0057_AF_B-0_0.png
14.8168545,8.635244,Real-L,data/samples_umap/real/L/L_0058_AF_B-0_0.png
16.056767,8.041873,Real-L,data/samples_umap/real/L/L_0059_AF_B-0_0.png
15.737652,7.877418,Real-L,data/samples_umap/real/L/L_0060_AF_B-1_0.png
15.918433,9.169996,Real-L,data/samples_umap/real/L/L_0061_AF_B-0_0.png
15.994159,9.110511,Real-L,data/samples_umap/real/L/L_0062_AF_B-1_0.png
15.126708,8.63859,Real-L,data/samples_umap/real/L/L_0063_AF_B-0_0.png
13.093735,7.6737804,Real-L,data/samples_umap/real/L/L_0064_AF_B-0_0.png
14.258613,7.839898,Real-L,data/samples_umap/real/L/L_0065_AF_B-0_0.png
14.061015,7.881565,Real-L,data/samples_umap/real/L/L_0066_AF_B-1_0.png
15.967013,8.060564,Real-L,data/samples_umap/real/L/L_0067_AF_B-0_0.png
12.6425295,7.1738033,Real-L,data/samples_umap/real/L/L_0068_AF_B-0_0.png
12.288369,7.560832,Real-L,data/samples_umap/real/L/L_0069_AF_B-0_0.png
15.404531,8.730558,Real-L,data/samples_umap/real/L/L_0070_AF_B-0_0.png
15.440361,8.485184,Real-L,data/samples_umap/real/L/L_0071_AF_B-1_0.png
16.444578,9.454433,Real-L,data/samples_umap/real/L/L_0072_AF_B-0_0.png
15.901927,8.974263,Real-L,data/samples_umap/real/L/L_0073_AF_B-1_0.png
16.343332,9.30333,Real-L,data/samples_umap/real/L/L_0074_AF_B-2_0.png
15.923705,8.683302,Real-L,data/samples_umap/real/L/L_0075_AF_B-3_0.png
14.743605,8.224933,Real-L,data/samples_umap/real/L/L_0076_AF_B-0_0.png
14.834793,8.134916,Real-L,data/samples_umap/real/L/L_0077_AF_B-1_0.png
15.382378,8.730261,Real-L,data/samples_umap/real/L/L_0078_AF_B-0_0.png
16.262936,8.455108,Real-L,data/samples_umap/real/L/L_0079_AF_B-0_0.png
16.298653,8.444976,Real-L,data/samples_umap/real/L/L_0080_AF_B-0_0.png
16.24443,8.274852,Real-L,data/samples_umap/real/L/L_0081_AF_B-0_0.png
16.251322,8.291195,Real-L,data/samples_umap/real/L/L_0082_AF_B-1_0.png
16.066902,8.369966,Real-L,data/samples_umap/real/L/L_0083_AF_B-0_0.png
16.062572,8.171911,Real-L,data/samples_umap/real/L/L_0084_AF_B-0_0.png
14.736927,7.7203794,Real-L,data/samples_umap/real/L/L_0085_AF_B-0_0.png
14.673358,7.655339,Real-L,data/samples_umap/real/L/L_0086_AF_B-1_0.png
14.787889,7.6875267,Real-L,data/samples_umap/real/L/L_0087_AF_B-2_0.png
13.228577,7.454657,Real-L,data/samples_umap/real/L/L_0088_AF_B-0_0.png
14.165765,7.1220994,Real-L,data/samples_umap/real/L/L_0089_AF_B-0_0.png
14.622735,6.958736,Real-L,data/samples_umap/real/L/L_0090_AF_B-0_0.png
15.033544,8.742917,Real-L,data/samples_umap/real/L/L_0091_AF_B-0_0.png
14.111477,9.063907,Real-L,data/samples_umap/real/L/L_0092_AF_B-0_0.png
14.133315,9.012834,Real-L,data/samples_umap/real/L/L_0093_AF_B-1_0.png
15.74677,8.889396,Real-L,data/samples_umap/real/L/L_0094_AF_B-0_0.png
15.739664,8.891659,Real-L,data/samples_umap/real/L/L_0095_AF_B-1_0.png
15.743695,8.913367,Real-L,data/samples_umap/real/L/L_0096_AF_B-2_0.png
13.96775,9.01536,Real-L,data/samples_umap/real/L/L_0097_AF_B-0_0.png
14.994004,8.983402,Real-L,data/samples_umap/real/L/L_0098_AF_B-1_0.png
14.997268,8.826723,Real-L,data/samples_umap/real/L/L_0099_AF_B-2_0.png
14.211282,6.8057656,Real-L,data/samples_umap/real/L/L_0100_AF_B-0_0.png
14.261572,6.775483,Real-L,data/samples_umap/real/L/L_0101_AF_B-1_0.png
13.974179,6.774295,Real-L,data/samples_umap/real/L/L_0102_AF_B-2_0.png
13.874055,6.8933973,Real-L,data/samples_umap/real/L/L_0103_AF_B-3_0.png
15.5986805,7.8853045,Real-L,data/samples_umap/real/L/L_0104_AF_B-0_0.png
14.80208,7.5633225,Real-L,data/samples_umap/real/L/L_0105_AF_B-0_0.png
14.23743,7.302714,Real-L,data/samples_umap/real/L/L_0106_AF_B-0_0.png
13.947912,6.2840834,Real-L,data/samples_umap/real/L/L_0107_AF_B-0_0.png
13.632755,6.552373,Real-L,data/samples_umap/real/L/L_0108_AF_B-0_0.png
13.620667,6.556232,Real-L,data/samples_umap/real/L/L_0109_AF_B-1_0.png
14.133196,6.250409,Real-L,data/samples_umap/real/L/L_0110_AF_B-0_0.png
12.4083805,7.5705037,Real-L,data/samples_umap/real/L/L_0111_AF_B-0_0.png
12.582189,7.431502,Real-L,data/samples_umap/real/L/L_0112_AF_B-1_0.png
12.471655,7.2506776,Real-L,data/samples_umap/real/L/L_0113_AF_B-0_0.png
13.461868,7.1275816,Real-L,data/samples_umap/real/L/L_0114_AF_B-1_0.png
15.372401,8.706385,Real-L,data/samples_umap/real/L/L_0115_AF_B-0_0.png
15.267606,8.671664,Real-L,data/samples_umap/real/L/L_0116_AF_B-1_0.png
14.748743,7.8164024,Real-L,data/samples_umap/real/L/L_0117_AF_B-0_0.png
13.674148,7.6379523,Real-L,data/samples_umap/real/L/L_0118_AF_B-0_0.png
13.571521,7.5876575,Real-L,data/samples_umap/real/L/L_0119_AF_B-1_0.png
14.62954,7.8821173,Real-L,data/samples_umap/real/L/L_0120_AF_B-0_0.png
14.511739,7.812771,Real-L,data/samples_umap/real/L/L_0121_AF_B-1_0.png
15.590882,9.285066,Real-L,data/samples_umap/real/L/L_0122_AF_B-0_0.png
15.801446,9.41023,Real-L,data/samples_umap/real/L/L_0123_AF_B-1_0.png
16.514671,9.674266,Real-L,data/samples_umap/real/L/L_0124_AF_B-0_0.png
16.510416,9.685992,Real-L,data/samples_umap/real/L/L_0125_AF_B-1_0.png
16.54933,9.671453,Real-L,data/samples_umap/real/L/L_0126_AF_B-2_0.png
16.51901,9.66746,Real-L,data/samples_umap/real/L/L_0127_AF_B-3_0.png
12.759138,8.157377,Real-L,data/samples_umap/real/L/L_0128_AF_B-0_0.png
12.75711,7.850842,Real-L,data/samples_umap/real/L/L_0129_AF_B-0_0.png
13.059391,8.373717,Real-L,data/samples_umap/real/L/L_0130_AF_B-0_0.png
13.165184,8.061045,Real-L,data/samples_umap/real/L/L_0131_AF_B-1_0.png
14.587041,7.9293394,Real-L,data/samples_umap/real/L/L_0132_AF_B-2_0.png
