x,y,z,label,img_path
-5.6399097,-0.15534644,6.537647,Real-L,data/samples_umap/real/L/L_0000_AF_B-1_0.png
-6.070228,2.101932,3.9347446,Real-L,data/samples_umap/real/L/L_0001_AF_B-0_0.png
-6.0067654,2.091912,3.9320483,Real-L,data/samples_umap/real/L/L_0002_AF_B-1_0.png
-6.060779,2.4362588,3.145718,Real-L,data/samples_umap/real/L/L_0003_AF_B-0_0.png
-6.141847,2.4483902,3.3441422,Real-L,data/samples_umap/real/L/L_0004_AF_B-1_0.png
-6.5021095,0.9742627,6.304548,Real-L,data/samples_umap/real/L/L_0005_AF_B-0_0.png
-6.8308554,8.27977,7.5295014,Real-L,data/samples_umap/real/L/L_0006_AF_B-0_0.png
-5.9422054,2.0487766,3.8949296,Real-L,data/samples_umap/real/L/L_0007_AF_B-0_0.png
-6.154457,2.085383,4.9194527,Real-L,data/samples_umap/real/L/L_0008_AF_B-1_0.png
-6.6454334,2.9836073,4.1048484,Real-L,data/samples_umap/real/L/L_0009_AF_B-2_0.png
-6.5861053,2.845877,4.11985,Real-L,data/samples_umap/real/L/L_0010_AF_B-3_0.png
-6.7242484,8.656674,7.7080507,Real-L,data/samples_umap/real/L/L_0011_AF_B-4_0.png
-6.4583564,1.3869041,6.704978,Real-L,data/samples_umap/real/L/L_0012_AF_B-0_0.png
-6.4569488,1.3727372,6.6979856,Real-L,data/samples_umap/real/L/L_0013_AF_B-1_0.png
-6.6007156,2.3766477,6.1388707,Real-L,data/samples_umap/real/L/L_0014_AF_B-0_0.png
-6.923308,8.022352,7.2354813,Real-L,data/samples_umap/real/L/L_0015_AF_B-0_0.png
-6.556001,2.0213084,5.7291183,Real-L,data/samples_umap/real/L/L_0016_AF_B-0_0.png
-6.283738,1.436125,6.8841166,Real-L,data/samples_umap/real/L/L_0017_AF_B-0_0.png
-6.1672044,0.42658547,6.9633703,Real-L,data/samples_umap/real/L/L_0018_AF_B-1_0.png
-6.275504,0.6992342,6.894579,Real-L,data/samples_umap/real/L/L_0019_AF_B-2_0.png
-6.380584,2.6900337,6.424168,Real-L,data/samples_umap/real/L/L_0020_AF_B-0_0.png
-6.3765655,2.5144107,6.484131,Real-L,data/samples_umap/real/L/L_0021_AF_B-1_0.png
-6.390665,2.5746768,6.4736176,Real-L,data/samples_umap/real/L/L_0022_AF_B-2_0.png
-6.307096,1.6470337,6.827502,Real-L,data/samples_umap/real/L/L_0023_AF_B-0_0.png
-6.319428,1.5431414,6.854249,Real-L,data/samples_umap/real/L/L_0024_AF_B-1_0.png
-6.311642,1.6691914,6.77612,Real-L,data/samples_umap/real/L/L_0025_AF_B-0_0.png
-6.8059554,2.2291996,5.2257533,Real-L,data/samples_umap/real/L/L_0026_AF_B-0_0.png
-5.8296986,-0.13689446,6.8974695,Real-L,data/samples_umap/real/L/L_0027_AF_B-0_0.png
-6.323917,0.48719215,6.750007,Real-L,data/samples_umap/real/L/L_0028_AF_B-0_0.png
-6.4819665,1.0141256,6.3449907,Real-L,data/samples_umap/real/L/L_0029_AF_B-0_0.png
-6.441629,1.0289755,6.36095,Real-L,data/samples_umap/real/L/L_0030_AF_B-1_0.png
-6.354887,0.8404817,5.746492,Real-L,data/samples_umap/real/L/L_0031_AF_B-0_0.png
-6.332731,0.83639765,5.7514005,Real-L,data/samples_umap/real/L/L_0032_AF_B-1_0.png
-6.599853,3.0276136,5.88658,Real-L,data/samples_umap/real/L/L_0033_AF_B-0_0.png
-6.5022163,3.438891,5.0722003,Real-L,data/samples_umap/real/L/L_0034_AF_B-0_0.png
-6.5351577,3.1511989,5.926826,Real-L,data/samples_umap/real/L/L_0035_AF_B-0_0.png
-6.1729474,1.169291,6.900757,Real-L,data/samples_umap/real/L/L_0036_AF_B-1_0.png
-6.5449877,3.2882054,5.781777,Real-L,data/samples_umap/real/L/L_0037_AF_B-0_0.png
-6.5907083,1.9407585,6.3198004,Real-L,data/samples_umap/real/L/L_0038_AF_B-0_0.png
-6.8739524,2.1389296,5.900379,Real-L,data/samples_umap/real/L/L_0039_AF_B-0_0.png
-6.8816466,0.6084648,5.974675,Real-L,data/samples_umap/real/L/L_0040_AF_B-0_0.png
-6.880456,0.61679715,6.0157833,Real-L,data/samples_umap/real/L/L_0041_AF_B-1_0.png
-6.1346583,-0.14326435,6.726712,Real-L,data/samples_umap/real/L/L_0042_AF_B-0_0.png
-6.0566783,-0.14209113,6.806323,Real-L,data/samples_umap/real/L/L_0043_AF_B-1_0.png
-5.7769976,-0.22221948,6.9421506,Real-L,data/samples_umap/real/L/L_0044_AF_B-0_0.png
-6.0844026,0.25967714,5.972733,Real-L,data/samples_umap/real/L/L_0045_AF_B-0_0.png
-6.1081004,0.37565854,5.8708677,Real-L,data/samples_umap/real/L/L_0046_AF_B-1_0.png
-6.5954504,0.5529312,5.5343704,Real-L,data/samples_umap/real/L/L_0047_AF_B-2_0.png
-5.8362393,-0.08170302,6.229486,Real-L,data/samples_umap/real/L/L_0048_AF_B-3_0.png
-6.1460977,0.21201746,5.7232375,Real-L,data/samples_umap/real/L/L_0049_AF_B-0_0.png
-6.483473,0.31309924,5.8962426,Real-L,data/samples_umap/real/L/L_0050_AF_B-0_0.png
-6.4160023,0.22310315,5.954217,Real-L,data/samples_umap/real/L/L_0051_AF_B-1_0.png
-6.7669525,2.2838168,5.965075,Real-L,data/samples_umap/real/L/L_0052_AF_B-0_0.png
-6.0405955,2.1740098,4.0808487,Real-L,data/samples_umap/real/L/L_0053_AF_B-0_0.png
-6.099178,2.1915977,4.093369,Real-L,data/samples_umap/real/L/L_0054_AF_B-1_0.png
-6.032527,2.4146109,3.0685618,Real-L,data/samples_umap/real/L/L_0055_AF_B-0_0.png
