x,y,label,img_path
-4.424106,11.927446,Real-L,data/samples_umap/real/L/L_0000_AF_B-1_0.png
-1.8943945,10.330293,Real-L,data/samples_umap/real/L/L_0001_AF_B-0_0.png
-1.8440547,10.326724,Real-L,data/samples_umap/real/L/L_0002_AF_B-1_0.png
-1.1953714,10.181182,Real-L,data/samples_umap/real/L/L_0003_AF_B-0_0.png
-1.3448069,10.106145,Real-L,data/samples_umap/real/L/L_0004_AF_B-1_0.png
-4.1409655,10.608068,Real-L,data/samples_umap/real/L/L_0005_AF_B-0_0.png
-2.1419315,1.9679042,Real-L,data/samples_umap/real/L/L_0006_AF_B-0_0.png
-1.8823203,10.406588,Real-L,data/samples_umap/real/L/L_0007_AF_B-0_0.png
-2.7528615,10.146833,Real-L,data/samples_umap/real/L/L_0008_AF_B-1_0.png
-2.0762355,9.472362,Real-L,data/samples_umap/real/L/L_0009_AF_B-2_0.png
-2.021866,9.592904,Real-L,data/samples_umap/real/L/L_0010_AF_B-3_0.png
-1.5272075,1.415363,Real-L,data/samples_umap/real/L/L_0011_AF_B-4_0.png
-4.4023523,10.306892,Real-L,data/samples_umap/real/L/L_0012_AF_B-0_0.png
-4.4083657,10.2864485,Real-L,data/samples_umap/real/L/L_0013_AF_B-1_0.png
-3.737106,9.540157,Real-L,data/samples_umap/real/L/L_0014_AF_B-0_0.png
-2.5631633,2.2441003,Real-L,data/samples_umap/real/L/L_0015_AF_B-0_0.png
-3.4932578,9.94557,Real-L,data/samples_umap/real/L/L_0016_AF_B-0_0.png
-4.534286,10.130718,Real-L,data/samples_umap/real/L/L_0017_AF_B-0_0.png
-4.7058654,11.114788,Real-L,data/samples_umap/real/L/L_0018_AF_B-1_0.png
-4.677814,10.915368,Real-L,data/samples_umap/real/L/L_0019_AF_B-2_0.png
-3.8835967,9.212301,Real-L,data/samples_umap/real/L/L_0020_AF_B-0_0.png
-3.978729,9.322828,Real-L,data/samples_umap/real/L/L_0021_AF_B-1_0.png
-3.9716702,9.296525,Real-L,data/samples_umap/real/L/L_0022_AF_B-2_0.png
-4.45552,9.940646,Real-L,data/samples_umap/real/L/L_0023_AF_B-0_0.png
-4.4747562,9.999024,Real-L,data/samples_umap/real/L/L_0024_AF_B-1_0.png
-4.4071255,9.968579,Real-L,data/samples_umap/real/L/L_0025_AF_B-0_0.png
-3.0379915,9.873624,Real-L,data/samples_umap/real/L/L_0026_AF_B-0_0.png
-4.8209944,11.738838,Real-L,data/samples_umap/real/L/L_0027_AF_B-0_0.png
-4.601585,10.983769,Real-L,data/samples_umap/real/L/L_0028_AF_B-0_0.png
-4.186185,10.601917,Real-L,data/samples_umap/real/L/L_0029_AF_B-0_0.png
-4.178493,10.519525,Real-L,data/samples_umap/real/L/L_0030_AF_B-1_0.png
-3.672678,10.951127,Real-L,data/samples_umap/real/L/L_0031_AF_B-0_0.png
-3.6817966,10.99517,Real-L,data/samples_umap/real/L/L_0032_AF_B-1_0.png
-3.3667703,9.017178,Real-L,data/samples_umap/real/L/L_0033_AF_B-0_0.png
-2.6212125,8.876901,Real-L,data/samples_umap/real/L/L_0034_AF_B-0_0.png
-3.3966708,8.936684,Real-L,data/samples_umap/real/L/L_0035_AF_B-0_0.png
-4.6779804,10.466422,Real-L,data/samples_umap/real/L/L_0036_AF_B-1_0.png
-3.253215,8.866887,Real-L,data/samples_umap/real/L/L_0037_AF_B-0_0.png
-4.0541425,9.855187,Real-L,data/samples_umap/real/L/L_0038_AF_B-0_0.png
-3.5628343,9.746693,Real-L,data/samples_umap/real/L/L_0039_AF_B-0_0.png
-3.9021156,10.968053,Real-L,data/samples_umap/real/L/L_0040_AF_B-0_0.png
-3.930787,10.961407,Real-L,data/samples_umap/real/L/L_0041_AF_B-1_0.png
-4.614539,11.586557,Real-L,data/samples_umap/real/L/L_0042_AF_B-0_0.png
-4.6917915,11.635793,Real-L,data/samples_umap/real/L/L_0043_AF_B-1_0.png
-4.8415456,11.817508,Real-L,data/samples_umap/real/L/L_0044_AF_B-0_0.png
-3.9556732,11.587789,Real-L,data/samples_umap/real/L/L_0045_AF_B-0_0.png
-3.8557532,11.436046,Real-L,data/samples_umap/real/L/L_0046_AF_B-1_0.png
-3.5671196,11.179191,Real-L,data/samples_umap/real/L/L_0047_AF_B-2_0.png
-4.1934533,11.839743,Real-L,data/samples_umap/real/L/L_0048_AF_B-3_0.png
-3.7061102,11.533015,Real-L,data/samples_umap/real/L/L_0049_AF_B-0_0.png
-3.8207424,11.353772,Real-L,data/samples_umap/real/L/L_0050_AF_B-0_0.png
-3.909592,11.43178,Real-L,data/samples_umap/real/L/L_0051_AF_B-1_0.png
-3.546987,9.612967,Real-L,data/samples_umap/real/L/L_0052_AF_B-0_0.png
-1.971901,10.205149,Real-L,data/samples_umap/real/L/L_0053_AF_B-0_0.png
-1.9888955,10.222942,Real-L,data/samples_umap/real/L/L_0054_AF_B-1_0.png
-1.1155351,10.163975,Real-L,data/samples_umap/real/L/L_0055_AF_B-0_0.png
-1.1254334,10.162757,Real-L,data/samples_umap/real/L/L_0056_AF_B-1_0.png
-1.4819556,9.94781,Real-L,data/samples_umap/real/L/L_0057_AF_B-0_0.png
-3.533888,10.829222,Real-L,data/samples_umap/real/L/L_0058_AF_B-0_0.png
-4.7026153,10.66938,Real-L,data/samples_umap/real/L/L_0059_AF_B-0_0.png
-4.3853283,10.398831,Real-L,data/samples_umap/real/L/L_0060_AF_B-1_0.png
-4.370779,11.457833,Real-L,data/samples_umap/real/L/L_0061_AF_B-0_0.png
-4.4271774,11.393439,Real-L,data/samples_umap/real/L/L_0062_AF_B-1_0.png
-3.7619834,10.967364,Real-L,data/samples_umap/real/L/L_0063_AF_B-0_0.png
-2.3002636,9.674786,Real-L,data/samples_umap/real/L/L_0064_AF_B-0_0.png
-3.2617981,10.158966,Real-L,data/samples_umap/real/L/L_0065_AF_B-0_0.png
-3.0432622,10.23113,Real-L,data/samples_umap/real/L/L_0066_AF_B-1_0.png
-4.6238356,10.64759,Real-L,data/samples_umap/real/L/L_0067_AF_B-0_0.png
-2.1681907,9.305097,Real-L,data/samples_umap/real/L/L_0068_AF_B-0_0.png
-1.6916673,9.594348,Real-L,data/samples_umap/real/L/L_0069_AF_B-0_0.png
-4.022749,11.0739565,Real-L,data/samples_umap/real/L/L_0070_AF_B-0_0.png
-4.3204126,10.729724,Real-L,data/samples_umap/real/L/L_0071_AF_B-1_0.png
-4.706856,11.756732,Real-L,data/samples_umap/real/L/L_0072_AF_B-0_0.png
-4.348295,11.313338,Real-L,data/samples_umap/real/L/L_0073_AF_B-1_0.png
-4.6261444,11.63475,Real-L,data/samples_umap/real/L/L_0074_AF_B-2_0.png
-4.4112945,11.118198,Real-L,data/samples_umap/real/L/L_0075_AF_B-3_0.png
-3.5835087,10.589182,Real-L,data/samples_umap/real/L/L_0076_AF_B-0_0.png
-3.69551,10.529072,Real-L,data/samples_umap/real/L/L_0077_AF_B-1_0.png
-4.0491185,11.0411,Real-L,data/samples_umap/real/L/L_0078_AF_B-0_0.png
-4.7516336,11.025243,Real-L,data/samples_umap/real/L/L_0079_AF_B-0_0.png
-4.7705564,10.855842,Real-L,data/samples_umap/real/L/L_0080_AF_B-0_0.png
-4.7329035,10.806948,Real-L,data/samples_umap/real/L/L_0081_AF_B-0_0.png
-4.761842,10.83465,Real-L,data/samples_umap/real/L/L_0082_AF_B-1_0.png
-4.634504,10.853475,Real-L,data/samples_umap/real/L/L_0083_AF_B-0_0.png
-4.6059527,10.638133,Real-L,data/samples_umap/real/L/L_0084_AF_B-0_0.png
-3.584085,10.133686,Real-L,data/samples_umap/real/L/L_0085_AF_B-0_0.png
