x,y,z,label,img_path
-4.110927,10.918429,3.3019073,Real-L,data/samples_umap/real/L/L_0000_AF_B-1_0.png
-4.5450087,9.146606,5.3609095,Real-L,data/samples_umap/real/L/L_0001_AF_B-0_0.png
-4.509352,9.133592,5.395521,Real-L,data/samples_umap/real/L/L_0002_AF_B-1_0.png
-4.5291214,8.957814,6.0093956,Real-L,data/samples_umap/real/L/L_0003_AF_B-0_0.png
-4.6055517,8.913886,5.842456,Real-L,data/samples_umap/real/L/L_0004_AF_B-1_0.png
-4.8968563,10.055782,3.327454,Real-L,data/samples_umap/real/L/L_0005_AF_B-0_0.png
-5.2194486,0.00043868428,2.40254,Real-L,data/samples_umap/real/L/L_0006_AF_B-0_0.png
-4.404277,9.200246,5.430118,Real-L,data/samples_umap/real/L/L_0007_AF_B-0_0.png
-4.6765685,9.158005,4.5753016,Real-L,data/samples_umap/real/L/L_0008_AF_B-1_0.png
-5.0228734,8.427377,5.147351,Real-L,data/samples_umap/real/L/L_0009_AF_B-2_0.png
-4.9803195,8.587252,5.2174253,Real-L,data/samples_umap/real/L/L_0010_AF_B-3_0.png
-4.835905,-0.47030127,2.2145154,Real-L,data/samples_umap/real/L/L_0011_AF_B-4_0.png
-4.867763,9.746221,3.0373702,Real-L,data/samples_umap/real/L/L_0012_AF_B-0_0.png
-4.86981,9.684427,3.0351844,Real-L,data/samples_umap/real/L/L_0013_AF_B-1_0.png
-5.051167,8.919014,3.5917943,Real-L,data/samples_umap/real/L/L_0014_AF_B-0_0.png
-5.4222574,0.31474417,2.5938425,Real-L,data/samples_umap/real/L/L_0015_AF_B-0_0.png
-4.982832,9.16436,3.8373861,Real-L,data/samples_umap/real/L/L_0016_AF_B-0_0.png
-4.757912,9.646771,2.8792171,Real-L,data/samples_umap/real/L/L_0017_AF_B-0_0.png
-4.556635,10.45359,2.8203819,Real-L,data/samples_umap/real/L/L_0018_AF_B-1_0.png
-4.633313,10.23358,2.8519204,Real-L,data/samples_umap/real/L/L_0019_AF_B-2_0.png
-4.838577,8.653479,3.3188803,Real-L,data/samples_umap/real/L/L_0020_AF_B-0_0.png
-4.8307915,8.782428,3.2389743,Real-L,data/samples_umap/real/L/L_0021_AF_B-1_0.png
-4.824437,8.759381,3.251059,Real-L,data/samples_umap/real/L/L_0022_AF_B-2_0.png
-4.783703,9.484817,2.8988752,Real-L,data/samples_umap/real/L/L_0023_AF_B-0_0.png
-4.779841,9.531485,2.8676004,Real-L,data/samples_umap/real/L/L_0024_AF_B-1_0.png
-4.7929163,9.432079,2.952255,Real-L,data/samples_umap/real/L/L_0025_AF_B-0_0.png
-5.164563,9.0373535,4.291334,Real-L,data/samples_umap/real/L/L_0026_AF_B-0_0.png
-4.1940703,10.870075,2.9112492,Real-L,data/samples_umap/real/L/L_0027_AF_B-0_0.png
-4.7060266,10.410133,2.9730256,Real-L,data/samples_umap/real/L/L_0028_AF_B-0_0.png
-4.872984,9.990664,3.2977548,Real-L,data/samples_umap/real/L/L_0029_AF_B-0_0.png
-4.8676023,9.985632,3.2860591,Real-L,data/samples_umap/real/L/L_0030_AF_B-1_0.png
-4.6665826,10.180337,3.7957747,Real-L,data/samples_umap/real/L/L_0031_AF_B-0_0.png
-4.670041,10.161707,3.8020606,Real-L,data/samples_umap/real/L/L_0032_AF_B-1_0.png
-5.0037894,8.443585,3.7701013,Real-L,data/samples_umap/real/L/L_0033_AF_B-0_0.png
-4.8660355,8.054805,4.456236,Real-L,data/samples_umap/real/L/L_0034_AF_B-0_0.png
-4.909154,8.266951,3.7434757,Real-L,data/samples_umap/real/L/L_0035_AF_B-0_0.png
-4.6280627,9.841592,2.8153906,Real-L,data/samples_umap/real/L/L_0036_AF_B-1_0.png
-4.910913,8.219026,3.8434615,Real-L,data/samples_umap/real/L/L_0037_AF_B-0_0.png
-4.9613976,9.309132,3.290626,Real-L,data/samples_umap/real/L/L_0038_AF_B-0_0.png
-5.2376213,9.102792,3.754133,Real-L,data/samples_umap/real/L/L_0039_AF_B-0_0.png
-5.190179,10.442423,3.6468039,Real-L,data/samples_umap/real/L/L_0040_AF_B-0_0.png
-5.215325,10.422945,3.6586168,Real-L,data/samples_umap/real/L/L_0041_AF_B-1_0.png
-4.518848,10.914335,3.066192,Real-L,data/samples_umap/real/L/L_0042_AF_B-0_0.png
-4.404156,10.944057,2.9743562,Real-L,data/samples_umap/real/L/L_0043_AF_B-1_0.png
-4.1674237,10.981502,2.8910708,Real-L,data/samples_umap/real/L/L_0044_AF_B-0_0.png
-4.436684,10.585167,3.6103485,Real-L,data/samples_umap/real/L/L_0045_AF_B-0_0.png
-4.500032,10.443788,3.7308712,Real-L,data/samples_umap/real/L/L_0046_AF_B-1_0.png
-4.9198065,10.444097,3.9753191,Real-L,data/samples_umap/real/L/L_0047_AF_B-2_0.png
-4.251415,10.857827,3.4923315,Real-L,data/samples_umap/real/L/L_0048_AF_B-3_0.png
-4.533835,10.647469,3.7797713,Real-L,data/samples_umap/real/L/L_0049_AF_B-0_0.png
-4.747446,10.605154,3.7164638,Real-L,data/samples_umap/real/L/L_0050_AF_B-0_0.png
-4.7431426,10.625957,3.6765084,Real-L,data/samples_umap/real/L/L_0051_AF_B-1_0.png
-5.1761866,8.980245,3.756123,Real-L,data/samples_umap/real/L/L_0052_AF_B-0_0.png
-4.607726,9.030002,5.2600904,Real-L,data/samples_umap/real/L/L_0053_AF_B-0_0.png
-4.6140594,9.045363,5.2777553,Real-L,data/samples_umap/real/L/L_0054_AF_B-1_0.png
-4.534764,8.876713,6.073305,Real-L,data/samples_umap/real/L/L_0055_AF_B-0_0.png
-4.502511,8.913334,6.102315,Real-L,data/samples_umap/real/L/L_0056_AF_B-1_0.png
-4.689206,8.758842,5.6360774,Real-L,data/samples_umap/real/L/L_0057_AF_B-0_0.png
-4.9165335,10.145625,3.8815992,Real-L,data/samples_umap/real/L/L_0058_AF_B-0_0.png
-4.506712,10.08161,2.833628,Real-L,data/samples_umap/real/L/L_0059_AF_B-0_0.png
